municipalityCode,population,populationAsOf,areaKm2,areaAsOf
01202,251084,2020-10-01,,
01203,111299,2020-10-01,,
01204,329306,2020-10-01,,
01205,82383,2020-10-01,,
01206,165077,2020-10-01,,
01207,166536,2020-10-01,,
01208,115480,2020-10-01,,
01209,7334,2020-10-01,,
01210,79306,2020-10-01,,
01211,35759,2020-10-01,,
01212,20114,2020-10-01,,
01213,170113,2020-10-01,,
01214,33563,2020-10-01,,
01215,20413,2020-10-01,,
01216,12555,2020-10-01,,
01217,121056,2020-10-01,,
01218,9698,2020-10-01,,
01219,21215,2020-10-01,,
01220,17858,2020-10-01,,
01221,27282,2020-10-01,,
01222,8040,2020-10-01,,
01223,24636,2020-10-01,,
01224,97950,2020-10-01,,
01225,39490,2020-10-01,,
01226,16486,2020-10-01,,
01227,2989,2020-10-01,,
01228,20039,2020-10-01,,
01229,21131,2020-10-01,,
01230,46391,2020-10-01,,
01231,70331,2020-10-01,,
01233,32826,2020-10-01,,
01234,58171,2020-10-01,,
01235,56869,2020-10-01,,
01236,44302,2020-10-01,,
01303,15916,2020-10-01,,
01304,3044,2020-10-01,,
01331,6260,2020-10-01,,
01332,3794,2020-10-01,,
01333,4167,2020-10-01,,
01334,3832,2020-10-01,,
01337,27686,2020-10-01,,
01343,3760,2020-10-01,,
01345,14338,2020-10-01,,
01346,15826,2020-10-01,,
01347,5109,2020-10-01,,
01361,7428,2020-10-01,,
01362,4306,2020-10-01,,
01363,3592,2020-10-01,,
01364,3403,2020-10-01,,
01367,2410,2020-10-01,,
01370,5072,2020-10-01,,
01371,7398,2020-10-01,,
01391,1356,2020-10-01,,
01392,2838,2020-10-01,,
01393,2791,2020-10-01,,
01394,4568,2020-10-01,,
01395,5074,2020-10-01,,
01396,2045,2020-10-01,,
01397,1911,2020-10-01,,
01398,2156,2020-10-01,,
01399,2941,2020-10-01,,
01400,15129,2020-10-01,,
01401,5772,2020-10-01,,
01402,11648,2020-10-01,,
01403,1569,2020-10-01,,
01404,870,2020-10-01,,
01405,1831,2020-10-01,,
01406,2745,2020-10-01,,
01407,3180,2020-10-01,,
01408,18000,2020-10-01,,
01409,1165,2020-10-01,,
01423,7319,2020-10-01,,
01424,5120,2020-10-01,,
01425,2841,2020-10-01,,
01427,4822,2020-10-01,,
01428,10289,2020-10-01,,
01429,11272,2020-10-01,,
01430,3691,2020-10-01,,
01431,1732,2020-10-01,,
01432,6484,2020-10-01,,
01433,2693,2020-10-01,,
01434,2329,2020-10-01,,
01436,2389,2020-10-01,,
01437,1724,2020-10-01,,
01438,2909,2020-10-01,,
01452,6567,2020-10-01,,
01453,10127,2020-10-01,,
01454,6319,2020-10-01,,
01455,3520,2020-10-01,,
01456,2605,2020-10-01,,
01457,3500,2020-10-01,,
01458,8314,2020-10-01,,
01459,9668,2020-10-01,,
01460,10348,2020-10-01,,
01461,4733,2020-10-01,,
01462,2376,2020-10-01,,
01463,1306,2020-10-01,,
01464,3192,2020-10-01,,
01465,2926,2020-10-01,,
01468,3126,2020-10-01,,
01469,4145,2020-10-01,,
01470,706,2020-10-01,,
01471,1528,2020-10-01,,
01472,1370,2020-10-01,,
01481,3908,2020-10-01,,
01482,2994,2020-10-01,,
01483,2936,2020-10-01,,
01484,6548,2020-10-01,,
01485,1080,2020-10-01,,
01486,2520,2020-10-01,,
01487,2950,2020-10-01,,
01511,2611,2020-10-01,,
01512,3448,2020-10-01,,
01513,1637,2020-10-01,,
01514,7565,2020-10-01,,
01516,3974,2020-10-01,,
01517,2509,2020-10-01,,
01518,2004,2020-10-01,,
01519,2458,2020-10-01,,
01520,2371,2020-10-01,,
01543,18697,2020-10-01,,
01544,4373,2020-10-01,,
01545,11418,2020-10-01,,
01546,3883,2020-10-01,,
01547,4623,2020-10-01,,
01549,4677,2020-10-01,,
01550,2775,2020-10-01,,
01552,4875,2020-10-01,,
01555,19241,2020-10-01,,
01559,8270,2020-10-01,,
01560,2421,2020-10-01,,
01561,3628,2020-10-01,,
01562,1053,2020-10-01,,
01563,4199,2020-10-01,,
01564,6775,2020-10-01,,
